"ferramenta","benchmark","tamanho","rodada","tempo_ms"
"CUDA","nbodies","15000","0","157.220000"
"PolyHok","julia","1000","0","287.000000"
"Numba","saxpy","125000000","0","973.100000"
"Numba","julia","1500","0","396.700000"
"CUDA","saxpy","100000000","0","306.360000"
"PolyHok","nearest_neighbor","20000000","0","657.000000"
"Numba","mm","2500","0","704.400000"
"PolyHok","nbodies","35000","0","1545.000000"
"CUDA","mm","3000","0","303.710000"
"Numba","mm","3500","0","1413.530000"
"CUDA","nbodies","20000","0","298.440000"
"Numba","nearest_neighbor","20000000","0","661.380000"
"PolyHok","saxpy","125000000","0","1307.000000"
"PolyHok","saxpy","100000000","0","660.000000"
"PolyHok","julia","2000","0","220.000000"
"PolyHok","saxpy","50000000","0","513.000000"
"CUDA","julia","2500","0","179.020000"
"Numba","nbodies","20000","0","590.710000"
"CUDA","saxpy","150000000","0","461.900000"
"CUDA","saxpy","75000000","0","197.320000"
"Numba","mm","3000","0","975.500000"
"PolyHok","nbodies","30000","0","917.000000"
"PolyHok","nearest_neighbor","100000000","0","1491.000000"
"CUDA","saxpy","125000000","0","378.100000"
"PolyHok","nearest_neighbor","60000000","0","1038.000000"
"PolyHok","julia","2500","0","254.000000"
"CUDA","julia","500","0","7.490000"
"PolyHok","nbodies","20000","0","598.000000"
"CUDA","mm","3500","0","557.820000"
"Numba","julia","2500","0","701.470000"
"PolyHok","julia","1500","0","143.000000"
"Numba","julia","1000","0","332.530000"
"Numba","nearest_neighbor","100000000","0","1386.190000"
"CUDA","mm","2000","0","87.390000"
"Numba","julia","500","0","288.360000"
"CUDA","julia","2000","0","113.990000"
"CUDA","nearest_neighbor","40000000","0","390.370000"
"PolyHok","nbodies","25000","0","971.000000"
"PolyHok","saxpy","150000000","0","744.000000"
"PolyHok","mm","4000","0","18507.000000"
"PolyHok","nearest_neighbor","80000000","0","3748.000000"
"Numba","nearest_neighbor","60000000","0","10638.700000"
"Numba","saxpy","75000000","0","834.600000"
"PolyHok","mm","3000","0","726.000000"
"CUDA","mm","4000","0","754.260000"
"PolyHok","mm","3500","0","878.000000"
"Numba","mm","4000","0","3014.470000"
"PolyHok","mm","2000","0","365.000000"
"CUDA","nbodies","25000","0","394.980000"
"Numba","nbodies","25000","0","1039.020000"
"PolyHok","saxpy","75000000","0","879.000000"
"CUDA","nearest_neighbor","100000000","0","932.620000"
"CUDA","nearest_neighbor","80000000","0","743.560000"
"Numba","mm","2000","0","457.580000"
"CUDA","julia","1000","0","28.320000"
"Numba","nearest_neighbor","40000000","0","726.240000"
"Numba","saxpy","100000000","0","526.430000"
"CUDA","nearest_neighbor","20000000","0","192.530000"
"CUDA","nearest_neighbor","60000000","0","556.470000"
"Numba","nbodies","35000","0","783.680000"
"PolyHok","mm","2500","0","672.000000"
"PolyHok","nbodies","15000","0","444.000000"
"Numba","nbodies","15000","0","413.430000"
"CUDA","nbodies","30000","0","478.140000"
"Numba","nearest_neighbor","80000000","0","1200.780000"
"CUDA","saxpy","50000000","0","133.880000"
"PolyHok","nearest_neighbor","40000000","0","2051.000000"
"Numba","saxpy","50000000","0","389.890000"
"PolyHok","julia","500","0","1189.000000"
"CUDA","nbodies","35000","0","687.380000"
"Numba","saxpy","150000000","0","2851.410000"
"CUDA","julia","1500","0","63.440000"
"Numba","nbodies","30000","0","638.380000"
"CUDA","mm","2500","0","189.880000"
