benchmark,tamanho,teste_omnibus,omnibus_p,levene_p,par,metodo_par,p_par,p_par_holm,diferenca_signif_holm,mais_rapido
julia,500,Kruskal-Wallis,7.233042604287144e-17,0.11240146137600555,CUDA vs Numba,Mann-Whitney,2.8269454960048416e-11,7.900862718181224e-11,True,CUDA
julia,500,Kruskal-Wallis,7.233042604287144e-17,0.11240146137600555,CUDA vs PolyHok,Mann-Whitney,2.6336209060604078e-11,7.900862718181224e-11,True,CUDA
julia,500,Kruskal-Wallis,7.233042604287144e-17,0.11240146137600555,Numba vs PolyHok,Mann-Whitney,8.04489858791069e-09,8.04489858791069e-09,True,CUDA
julia,1000,Kruskal-Wallis,6.36964713399356e-18,0.323646559380955,CUDA vs Numba,Mann-Whitney,2.974735431495655e-11,8.475490685314226e-11,True,CUDA
julia,1000,Kruskal-Wallis,6.36964713399356e-18,0.323646559380955,CUDA vs PolyHok,Mann-Whitney,2.825163561771409e-11,8.475490685314226e-11,True,CUDA
julia,1000,Kruskal-Wallis,6.36964713399356e-18,0.323646559380955,Numba vs PolyHok,Mann-Whitney,2.868214109442184e-11,8.475490685314226e-11,True,CUDA
julia,1500,Kruskal-Wallis,1.6393405203478444e-16,0.04390437058997642,CUDA vs Numba,Mann-Whitney,2.993461776053235e-11,8.56678883613535e-11,True,CUDA
julia,1500,Kruskal-Wallis,1.6393405203478444e-16,0.04390437058997642,CUDA vs PolyHok,Mann-Whitney,2.8555962787117833e-11,8.56678883613535e-11,True,CUDA
julia,1500,Kruskal-Wallis,1.6393405203478444e-16,0.04390437058997642,Numba vs PolyHok,Mann-Whitney,4.93195547305022e-08,4.93195547305022e-08,True,CUDA
julia,2000,Kruskal-Wallis,6.409242468207688e-18,0.07704571081741761,CUDA vs Numba,Mann-Whitney,3.0104073709630884e-11,8.577588584583967e-11,True,CUDA
julia,2000,Kruskal-Wallis,6.409242468207688e-18,0.07704571081741761,CUDA vs PolyHok,Mann-Whitney,2.8591961948613224e-11,8.577588584583967e-11,True,CUDA
julia,2000,Kruskal-Wallis,6.409242468207688e-18,0.07704571081741761,Numba vs PolyHok,Mann-Whitney,2.868214109442184e-11,8.577588584583967e-11,True,CUDA
